date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:13	7437/7437	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2030%20Oct%202020%2014:01:21%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-68ba3f1321f00bf07cb78a03841621079812265e950cdccade3463749ea2705e.js	C:/My%20Web%20Sites/campain/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-68ba3f1321f00bf07cb78a03841621079812265e950cdccade3463749ea2705e.js	(from https://campe-theme.myshopify.com/)
21:36:13	1454/1454	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Nov%202020%2021:24:50%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	C:/My%20Web%20Sites/campain/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	(from https://campe-theme.myshopify.com/)
21:36:14	9535/9535	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Feb%202021%2016:11:35%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-d8a6f1446d67009c524ed4e68648800ba9082eb75548ee28e1050331cbe7ba28.js	C:/My%20Web%20Sites/campain/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-d8a6f1446d67009c524ed4e68648800ba9082eb75548ee28e1050331cbe7ba28.js	(from https://campe-theme.myshopify.com/)
21:36:14	37632/37632	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Oct%202020%2015:31:32%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/My%20Web%20Sites/campain/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://campe-theme.myshopify.com/)
21:36:16	23/23	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Sep%202020%2005:13:16%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/compiled_assets/styles.css?1819	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/compiled_assets/styles17c3.css	(from https://campe-theme.myshopify.com/)
21:36:17	5549/5549	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Sep%202020%2005:13:16%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/compiled_assets/scripts.js?1819	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/compiled_assets/scripts17c3.js	(from https://campe-theme.myshopify.com/)
21:36:19	109462/109462	---MCZ	200	added ('OK')	text/html	etag:cacheable:7e808ff7b8b2da39e8265dcaa73f52d5	https://campe-theme.myshopify.com/pages/wishlist	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/pages/wishlist.html	(from https://campe-theme.myshopify.com/)
21:36:20	95374/95374	---MCZ	200	added ('OK')	text/html	etag:cacheable:68f5be02630c5329b68994decdf16097	https://campe-theme.myshopify.com/search?q=dempus*&type=product	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/searche144.html	(from https://campe-theme.myshopify.com/)
21:36:21	143317/143317	---MCZ	200	added ('OK')	text/html	etag:cacheable:eef5089116a14116e26d43908bb8ed9d	https://campe-theme.myshopify.com/search?q=sample*&type=product	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/searchb423.html	(from https://campe-theme.myshopify.com/)
21:36:22	95374/95374	---MCZ	200	added ('OK')	text/html	etag:cacheable:98b444c1ec5069c590835e1447bea68d	https://campe-theme.myshopify.com/search?q=magnis*&type=product	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/search0b4f.html	(from https://campe-theme.myshopify.com/)
21:36:23	95495/95495	---MCZ	200	added ('OK')	text/html	etag:cacheable:934a918a8eeb5bc8fc11d8abb9db815b	https://campe-theme.myshopify.com/search?q=loremous-saliduar*&type=product	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/search5500.html	(from https://campe-theme.myshopify.com/)
21:36:24	95385/95385	---MCZ	200	added ('OK')	text/html	etag:cacheable:c08eabfabc804b445b9032238f9b662b	https://campe-theme.myshopify.com/search?q=naminos*&type=product	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/search134c.html	(from https://campe-theme.myshopify.com/)
